City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Gadsden,Etowah Detention Center,AL,23,23,23,general protestors,General,https://www.facebook.com/events/1285221874989851/,34.014264,-86.0066386,34.010157,-86.0260686,Link
Montebello,Beverly Blvd.,CA,120,150,120 to 150,general protestors,General,https://www.facebook.com/events/2320316838232765/?notif_t=plan_user_joined&notif_id=1561783553494584,34.0165053,-118.1137535,34.0173183,-118.0723435,Link
Los Angeles,Metropolitan Detention Center,CA,400,4000,"400 to 4,000",General,General,https://www.facebook.com/events/451670135678048/,34.0522342,-118.2436849,34.0506542,-118.2053649,Link
Los Angeles,outside Westchester municipal building,CA,200,200,200,General,General,https://www.facebook.com/events/348688542432330/,34.0522342,-118.2436849,34.0523942,-118.2343449,Link
Alpharetta,Encore Parkway Bridge over GA 400,GA,237,237,237,No Safe Seats,General,https://www.facebook.com/events/465133424055834/,34.0753762,-84.2940899,34.0781412,-84.3273199,Link
San Gabriel,La Cañada Congregational Church,CA,,,,La Canada Congregational Church,General,https://www.facebook.com/events/456623528452060/,34.0961111,-118.1058333,34.1006541,-118.1252833,Link
San Bernardino,office for the U.S. Department of Homeland Security,CA,500,500,500,General,General,https://www.facebook.com/events/339199090091177/,34.1083449,-117.2897652,34.1090739,-117.2871052,Link
Sherman Oaks,Sherman Oaks Galleria,CA,300,400,300 to 400,General,General,https://www.facebook.com/events/2332455937075082/,34.1489719,-118.451357,34.1466059,-118.460897,Link
Valley Village,Faith Presbyterian Church of Valley Village,CA,71,71,71,"Lights for Liberty: Valley Village, CA",General,https://www.facebook.com/events/447086672555928/,34.1633045,-118.3841777,34.1591015,-118.3558077,Link
Holly Springs,Interstate 575 at Sixes Rd/Exit 11,GA,59,59,59,Indivisible GA-11,General,https://www.facebook.com/events/1269622696530972/,34.1739857,-84.5013187,34.1704907,-84.4853687,Link
Burbank,Johnny Carson Park,CA,191,191,191,Burbank Democratic Club,General,https://www.facebook.com/events/729094374175851/?active_tab=about,34.1808392,-118.3089661,34.1819002,-118.3256861,Link
Altadena,Altadena Community Church UCC,CA,300,300,300,Altadena Community Church UCC,General,https://www.facebook.com/events/1607429452723255/permalink/1607429459389921,34.190162,-118.1313188,34.193994,-118.1352088,Link
Florence,119 S Dargan St,SC,30,30,30,Action Together- Pee Dee,vigil,https://www.facebook.com/events/445072466332203/,34.1954331,-79.7625625,34.1929801,-79.7346025,Link
Cumming,Forsyth County Courthouse,GA,65,65,65,Democratic Women of Forsyth County Georgia,General,https://www.facebook.com/events/843431466043200/,34.2073196,-84.1401926,34.2085156,-84.1526826,Link
Camarillo,Ojai Avenue in front of Libbey Park,CA,200,500,200 to 500,general protestors,vigil,https://www.facebook.com/events/332453321002025/,34.2163937,-119.0376023,34.2126617,-118.9940823,Link
Camarillo,outside ICE building; 770 Paseo Camarillo,CA,447,447,447,General,General,https://www.facebook.com/events/893304381020578/,34.2163937,-119.0376023,34.2157647,-118.9937223,Link
Show Low,Main Street Festival Marketplace,AZ,60,60,60,White Mountain Democrats; White Mountain Indivisible; Northeastern Arizona Democrats; AZ Resist; AZ Latinx Caucus,General,https://www.facebook.com/events/476945183040531/,34.2542084,-110.0298327,34.2579934,-110.0149927,Link
Oxford,City Hall,MS,81,81,81,UM Solidarity; Indivisible LOU,march; vigil,https://www.facebook.com/events/480583462705353/,34.3664951,-89.5192484,34.3673911,-89.5360984,Link
Santa Clarita,,CA,36,110,36 to 110,General,General,https://www.lightsforliberty.org/,34.3916641,-118.542586,34.3884611,-118.561486,Link
Carpinteria,,CA,10,10,10,Indivisible Carpinteria,General,https://www.facebook.com/events/2404904723124815/,34.3988838,-119.5184564,34.3954698,-119.5336764,Link
Santa Barbara,Santa Barbara County Courthouse,CA,190,190,190,general protestors,General,https://www.facebook.com/events/633077417212087/,34.4208305,-119.6981901,34.4168015,-119.6880301,Link
Dahlonega,Dahlonega Visitors Center and Chamber,GA,27,27,27,Indivisible Lumpkin,General,https://www.facebook.com/events/1280089368825868/,34.5261465,-83.9843953,34.5247565,-83.9463653,Link
Prescott,255 E Gurley Street,AZ,165,165,165,Democratic Women of the Prescott Area,General,https://www.facebook.com/events/349790385694740/,34.5400242,-112.4685025,34.5434592,-112.4556525,Link
Palmdale,office of US Rep Katie Hill,CA,41,41,41,General,General,https://www.lightsforliberty.org/,34.5794343,-118.1164613,34.5803633,-118.0958313,Link
Adelanto,Adelanto Geo Detention Center 10400 Rancho Rd,CA,215,225,215 to 225,general protestors,General,https://www.facebook.com/events/621216731719790/,34.5827699,-117.409215,34.5821629,-117.450595,Link
Huntsville,city hall,AL,60,60,60,general protestors,General,https://www.facebook.com/events/452271068924796/,34.7303688,-86.5861037,34.7273218,-86.6037237,Link
Jacksonville,Freedom Fountain,NC,40,40,40,general protestors,vigil,https://www.facebook.com/events/2275689976028568/,34.7540524,-77.4302414,34.7502464,-77.4597814,Link
Estancia,Arthur Park,NM,125,125,125,Our Revolution New Mexico,vigil,https://www.facebook.com/events/343830902956943/,34.7583934,-106.0558506,34.7553734,-106.0930806,Link
Blue Ridge,Downtown; Courthouse steps,GA,177,177,177,general protestors,General,https://www.facebook.com/events/2220494591402390/,34.8639719,-84.324087,34.8596779,-84.329547,Link
Sedona,89A and Coffeepot Drive,AZ,,,,Women's MARCH Sedona,General,https://www.facebook.com/events/341608426506571/,34.8697395,-111.7609896,34.8714635,-111.7408196,Link
