protest,FIPS,n,FIPS2
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
LFL,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
FBT,13121,1,13121
LFL,13121,1,13121
GRP,13121,1,13121
GRP,13121,1,13121
FBT,2090,1,02090
GRP,2090,1,02090
GRP,2090,1,02090
GRP,2090,1,02090
GRP,56039,1,56039
FBT,56039,1,56039
GRP,8059,1,08059
LFL,8059,1,08059
GRP,8059,1,08059
GRP,8059,1,08059
GRP,8059,1,08059
FBT,8029,1,08029
GRP,13063,1,13063
FBT,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
LFL,36103,1,36103
GRP,36103,1,36103
LFL,36103,1,36103
GRP,36103,1,36103
FBT,36103,1,36103
LFL,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
FBT,36103,1,36103
GRP,36103,1,36103
FBT,36103,1,36103
GRP,36103,1,36103
FBT,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
LFL,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
FBT,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
GRP,36103,1,36103
LFL,36045,1,36045
GRP,36045,1,36045
GRP,36045,1,36045
GRP,36045,1,36045
FBT,36045,1,36045
GRP,34041,1,34041
LFL,34041,1,34041
GRP,51191,1,51191
GRP,1015,1,01015
LFL,1015,1,01015
GRP,54009,1,54009
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
LFL,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
FBT,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
