protest,FIPS,n,FIPS2
FBT,49053,1,49053
GRP,49053,1,49053
GRP,12127,1,12127
LFL,12127,1,12127
GRP,12127,1,12127
FBT,12127,1,12127
GRP,12127,1,12127
GRP,12127,1,12127
GRP,12127,1,12127
GRP,12127,1,12127
FBT,12127,1,12127
GRP,12127,1,12127
GRP,12127,1,12127
GRP,36101,1,36101
GRP,36101,1,36101
GRP,36101,1,36101
GRP,55101,1,55101
GRP,55101,1,55101
FBT,55101,1,55101
LFL,6047,1,06047
GRP,6047,1,06047
GRP,6047,1,06047
GRP,6047,1,06047
FBT,6047,1,06047
GRP,6047,1,06047
GRP,6047,1,06047
GRP,6047,1,06047
GRP,6047,1,06047
LFL,55063,1,55063
