Protest,g_lat,g_lon
LFL,42.5847425,-87.8211854
LFL,42.587915,-72.5994104
LFL,42.587915,-72.5994104
LFL,42.6430359,-95.2019399
LFL,42.6525793,-73.7562317
LFL,42.6583356,-71.1367953
LFL,42.6609026,-77.0538577
LFL,42.732535,-84.5555347
LFL,42.8125913,-70.8772751
LFL,42.8336205,-88.7323272
LFL,42.8433943,-71.7351077
LFL,42.8509152,-72.5578678
LFL,42.8621042,-112.4506191
LFL,42.8694731,-85.6447492
LFL,42.8706048,-71.9516746
LFL,42.8711088,-97.3972813
LFL,42.8864468,-78.8783689
LFL,42.9288944,-88.8370509
LFL,42.9633599,-85.6680863
LFL,42.9708634,-82.4249142
LFL,42.975268,-72.5217237
LFL,42.9981156,-78.1875167
LFL,43.0389025,-87.9064736
LFL,43.0481221,-76.1474244
LFL,43.0494572,-88.0075875
LFL,43.0717552,-70.7625532
LFL,43.0730517,-89.4012302
LFL,43.073403,-75.2876661
LFL,43.100903,-75.232664
LFL,43.1775314,-85.2527987
LFL,43.3033056,-91.7857092
LFL,43.3095164,-73.6440058
LFL,43.5473028,-96.728333
LFL,43.5569174,-90.8887413
LFL,43.5852069,-71.2094799
LFL,43.6106237,-72.9726065
LFL,43.6150186,-116.2023137
LFL,43.6155825,-84.2472116
LFL,43.6478006,-93.3686555
LFL,43.6590993,-70.2568189
LFL,43.7022451,-72.2895526
LFL,43.8137751,-91.2519017
LFL,43.9106353,-69.8206023
LFL,43.9747838,-75.9107565
LFL,44.0121221,-92.4801989
LFL,44.0153371,-73.16734
LFL,44.0247062,-88.5426136
LFL,44.0520691,-123.0867536
LFL,44.0581728,-121.3153096
LFL,44.0886059,-87.657584
LFL,44.100351,-70.2147764
LFL,44.1339512,-74.9210219
LFL,44.2444473,-86.324253
LFL,44.2600593,-72.5753869
LFL,44.2619309,-88.4153847
LFL,44.3112312,-124.1048418
LFL,44.3258932,-93.955691
LFL,44.329496,-74.1312662
LFL,44.3835763,-89.8173465
LFL,44.4192627,-72.0151184
LFL,44.4654332,-72.6874023
LFL,44.4758825,-73.212072
LFL,44.4905433,-73.1112207
LFL,44.5660691,-92.5369563
LFL,44.6334544,-121.1294872
LFL,44.6365107,-123.1059282
LFL,44.7538408,-108.7573525
LFL,44.7630567,-85.6206317
LFL,44.7650366,-69.7193803
LFL,44.8016128,-68.7712257
LFL,44.811349,-91.4984941
LFL,44.8484524,-123.2339888
LFL,44.8831125,-68.6719411
LFL,44.9428975,-123.0350963
LFL,44.9537029,-93.0899578
LFL,44.9537029,-93.0899578
LFL,44.9591352,-89.6301221
LFL,45.0616794,-83.4327528
LFL,45.0655212,-93.2018908
LFL,45.2101162,-123.1987163
LFL,45.3377283,-93.5691122
LFL,45.3563261,-122.8402749
LFL,45.3733428,-84.9553296
LFL,45.3894083,-92.8479921
LFL,45.4019062,-92.6524292
LFL,45.4646985,-98.4864829
LFL,45.5051064,-122.6750261
LFL,45.5051064,-122.6750261
LFL,45.5051064,-122.6750261
LFL,45.5051064,-122.6750261
LFL,45.5945645,-121.1786823
LFL,45.6257379,-122.6760886
LFL,45.6769979,-111.0429339
LFL,45.7832856,-108.5006904
LFL,45.858961,-122.8212356
LFL,46.0130065,-91.4846208
LFL,46.0645809,-118.3430208
LFL,46.1878841,-123.8312534
LFL,46.2305049,-119.0922316
LFL,46.4110574,-86.6479361
LFL,46.4977115,-84.3475876
LFL,46.5436199,-87.3953713
LFL,46.5891452,-112.0391057
LFL,46.5924428,-90.8837982
LFL,46.6020711,-120.5058987
LFL,46.7297771,-117.1817377
LFL,46.8771863,-96.7898034
LFL,46.9753708,-123.8157218
LFL,46.9965144,-120.5478474
LFL,47.0378741,-122.9006951
LFL,47.1853785,-122.2928974
LFL,47.2528768,-122.4442906
LFL,47.4234599,-120.3103494
LFL,47.4668384,-122.3405305
LFL,47.5052849,-111.3007715
LFL,47.5650067,-122.6269768
LFL,47.5706548,-122.2220674
LFL,47.5955023,-115.3373865
LFL,47.5962326,-120.6614765
LFL,47.6062095,-122.3320708
LFL,47.6062095,-122.3320708
LFL,47.6062095,-122.3320708
LFL,47.6162683,-122.0355736
LFL,47.6248791,-122.5210007
LFL,47.6587802,-117.4260465
LFL,47.6768927,-122.2059833
LFL,47.8106521,-122.3773551
LFL,47.9252568,-97.0328547
LFL,47.9789848,-122.2020795
LFL,48.009537,-122.525983
LFL,48.2198208,-122.6862804
LFL,48.361262,-119.5833869
LFL,48.3634784,-120.122303
LFL,48.4201105,-122.3374543
LFL,48.7051529,-119.439504
LFL,48.8464991,-122.5910056
LFL,58.3019444,-134.4197221
LFL,59.2358333,-135.445
LFL,59.6425,-151.5483333
LFL,61.5808763,-149.4410598
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,61.2180556,-149.9002778
GRP,64.8377778,-147.7163888
GRP,64.8377778,-147.7163888
GRP,61.6044831,-149.4138988
GRP,32.6098566,-85.4807825
GRP,33.5185892,-86.8103567
GRP,33.8917742,-87.5261236
GRP,30.6035255,-87.9036047
GRP,32.5176361,-87.836402
GRP,33.6601033,-86.8127702
GRP,33.4053867,-86.8113781
GRP,34.7303688,-86.5861037
GRP,34.7303688,-86.5861037
GRP,34.7303688,-86.5861037
GRP,34.7303688,-86.5861037
GRP,30.6953657,-88.0398912
GRP,33.1006746,-86.8641558
GRP,32.3792233,-86.3077368
GRP,34.3623149,-86.4235973
GRP,33.2098407,-87.5691735
GRP,33.2098407,-87.5691735
GRP,33.2098407,-87.5691735
GRP,33.2098407,-87.5691735
GRP,35.0706423,-91.8795856
GRP,34.974532,-92.0165336
GRP,35.0886963,-92.4421011
GRP,35.0886963,-92.4421011
GRP,36.082156,-94.1718542
GRP,34.7464809,-92.2895948
GRP,34.7464809,-92.2895948
GRP,36.4539625,-94.1152041
GRP,36.3320196,-94.1185366
GRP,36.1867442,-94.1288141
GRP,35.436756,-94.348268
GRP,33.8543346,-112.1251372
GRP,33.4355977,-112.3496021
GRP,33.4355977,-112.3496021
GRP,31.4481547,-109.9284084
GRP,33.3061605,-111.8412502
GRP,33.3061605,-111.8412502
GRP,33.3061605,-111.8412502
GRP,33.3061605,-111.8412502
GRP,32.3398462,-111.0119968
GRP,33.6130942,-112.3246042
GRP,35.1982836,-111.651302
GRP,35.1982836,-111.651302
GRP,33.3528264,-111.789027
GRP,33.3528264,-111.789027
GRP,33.3528264,-111.789027
GRP,33.3528264,-111.789027
GRP,33.3528264,-111.789027
GRP,33.3528264,-111.789027
GRP,33.5386523,-112.1859866
GRP,33.5386523,-112.1859866
GRP,33.5386523,-112.1859866
GRP,33.5386523,-112.1859866
GRP,33.5386523,-112.1859866
GRP,33.5386523,-112.1859866
GRP,33.3628227,-112.169317
GRP,33.3628227,-112.169317
GRP,33.0581063,-112.0476423
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,33.4151843,-111.8314724
GRP,34.9330585,-114.5888533
GRP,31.3403775,-110.9342532
GRP,32.3909071,-110.966488
GRP,33.5805955,-112.2373779
GRP,33.5805955,-112.2373779
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,33.4483771,-112.0740373
GRP,34.6463981,-112.4291464
GRP,31.9575818,-110.955646
GRP,33.4941704,-111.9260519
GRP,33.4941704,-111.9260519
GRP,33.4941704,-111.9260519
GRP,33.4941704,-111.9260519
GRP,33.4941704,-111.9260519
GRP,31.5455001,-110.2772856
GRP,33.6292337,-112.3679279
GRP,33.6292337,-112.3679279
GRP,33.4255104,-111.9400054
GRP,33.4500425,-112.259321
GRP,33.4500425,-112.259321
GRP,32.2226066,-110.9747108
GRP,32.2226066,-110.9747108
GRP,32.2226066,-110.9747108
GRP,32.2226066,-110.9747108
GRP,32.2226066,-110.9747108
GRP,32.2226066,-110.9747108
GRP,32.6926512,-114.6276916
GRP,32.6926512,-114.6276916
GRP,32.6926512,-114.6276916
GRP,32.6926512,-114.6276916
GRP,34.1533395,-118.7616764
