CityTown,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,Estimate,Actor,Source1,Source2,Source3,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Oberlin,,OH,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,https://americasvoice.org/press_releases/6000-ohioans-protested-family-separations-raids-deportations/,,41.2939386,-82.2173786,41.2933456,-82.2148866,Link
Ocracoke,,NC,US,6/30/2018,12,12,12,Families Belong Together,https://www.facebook.com/ocracokecurrent/photos/rpp.166826290087131/1285080388261710/?type=3&theater,https://act.moveon.org/event/families-belong-together/19907/signup/?source=&s=,,35.1146152,-75.9810097,35.1117432,-75.9837647,Link
Ojai,Libbey Park,CA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20239/signup/?source=&s=,,,34.4480495,-119.242889,34.4441245,-119.240913,Link
Oklahoma City,Oklahoma State Capitol,OK,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20255/signup/?&source=&s=,http://okcfox.com/news/local/keep-families-together-rally-at-oklahoma-state-capitol,,35.4675602,-97.5164276,35.4656902,-97.5175616,Link
Okoboji,Okoboji bridge between West Lake and East Lake,IA,US,6/30/2018,24,34,24 to 34,Families Belong Together,https://act.moveon.org/event/families-belong-together/20628/signup/?source=&s=,http://www.spencerdailyreporter.com/story/2534835.html,https://www.facebook.com/events/433300490475761/,43.3863521,-95.1483293,43.3887781,-95.1520223,Link
Olympia,"Capitol Campus, Legislative Steps",WA,US,6/30/2018,3000,3000,"3,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19873/signup/?source=&s=,https://www.seattletimes.com/seattle-news/politics/10000-strong-demonstrate-at-seatac-detention-facility-against-president-trumps-zero-tolerance-immigration-policy/,,47.0378741,-122.9006951,47.0404251,-122.8963741,Link
Omaha,Plaza de la Raza,NE,US,6/30/2018,1000,1000,"1,000",Families Belong Together,https://twitter.com/BarbInNebraska/status/1013195064670121985,https://www.facebook.com/events/196108691042077/,,41.2565369,-95.9345034,41.2562849,-95.9358144,Link
Onalaska,Caribou coffee,WI,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20377/signup/?source=&s=,,,43.8844092,-91.2351393,43.8833952,-91.2382173,Link
Onancock,,VA,US,6/30/2018,60,60,60,Families Belong Together,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,37.7117971,-75.7490966,37.7102201,-75.7528346,Link
Orlando,Outside Orlando City Hall,FL,US,6/30/2018,100,200,100 to 200,Families Belong Together,http://www.wesh.com/article/watch-live-protesters-gather-outside-of-orlando-city-hall-for-families-belong-together-rally/22007077,https://www.wftv.com/news/local/central-florida-to-host-families-belong-together-rallies/780327096,http://photos.orlandoweekly.com/photos-from-orlandos-families-belong-together-protest-against-trump-immigration-policies/?slide=1&a62a5579,28.5383355,-81.3792365,28.5407455,-81.3838745,Link
Orleans,Orleans Ma. rotary,MA,US,6/30/2018,24,24,24,Families Belong Together,https://act.moveon.org/event/families-belong-together/20694/signup/?source=&s=,https://twitter.com/mad_knitta/status/1005500968979587072,,41.7898354,-69.9897323,41.7848824,-69.9924373,Link
Oshkosh,Main Street Sundial,WI,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20251/signup/?source=&s=,https://www.stevenspointjournal.com/story/news/2018/06/30/wisconsin-protesters-denounce-separation-immigrant-families/734264002/,,44.0247062,-88.5426136,44.0211152,-88.5449916,Link
Oswego,Corner of W Bridge & W First Streets,NY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20416/signup/?source=&s=,,,43.4553461,-76.5104973,43.4504581,-76.5110833,Link
Ottawa,Jordan Block,IL,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20766/signup/?source=&s=,http://www.lcbcradio.com/wlpo/hundreds-take-part-in-families-belong-together-rally-in-ottawa/article_fa47fdb4-7e0c-11e8-898f-db3a0ef58a78.html,,41.3455892,-88.8425769,41.3496542,-88.8401569,Link
Oxford,Memorial Park,OH,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20394/signup/?source=&s=,https://www.whio.com/news/oxford-joins-the-country-protesting-trump-immigration-policy/2dtpBY4lbY8JeXSQDZbb3N/,,39.5069974,-84.745231,39.5112244,-84.743713,Link
Oxnard,Collections Shopping Center,CA,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/19957/signup/?source=&s=,https://www.vcstar.com/story/news/2018/06/30/across-ventura-county-ralliers-protest-immigration-policies/748574002/,,34.1975048,-119.1770516,34.1950788,-119.1790596,Link
Palm Springs,Frances Stevens Park,CA,US,6/30/2018,2000,2000,"2,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/20089/signup/?source=&s=,https://twitter.com/RB_0007/status/1013133826984308737,,33.8302961,-116.5452921,33.8270901,-116.5471031,Link
Palmetto Bay,Coral Reef Park,FL,US,6/30/2018,60,60,60,Families Belong Together,https://act.moveon.org/event/families-belong-together/20101/signup/?source=&s=,https://www.facebook.com/events/345314952665351/,,25.6217715,-80.3247748,25.6214175,-80.3271308,Link
Palo Alto,El Camino Real and Embarcadero Road,CA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20597/signup/?source=&s=,,,37.4418834,-122.1430195,37.4435654,-122.1395655,Link
Panama City,Hathaway Bridge,FL,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/19944/signup/?source=&s=,https://twitter.com/bobrackleff/status/1014224831762575360,,30.1588129,-85.6602058,30.1540619,-85.6633588,Link
Paonia,,CO,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20115/signup/?source=&s=,,,38.8683204,-107.5920017,38.8721634,-107.5881157,Link
Paris,Culbertson Fountain on the Downtown Square,TX,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20611/signup/?source=&s=,,,33.6609389,-95.555513,33.6635879,-95.556198,Link
Parkersburg,Bicentennial Park,WV,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20451/signup/?source=&s=,https://www.wvgazettemail.com/news/parkersburg-rally-against-family-separation-among-hundreds-nationwide/article_5fc5381a-ce83-505a-b3de-65eac637e157.html,,39.2667418,-81.5615135,39.2660328,-81.5576855,Link
Pasadena,Pasadena City College,CA,US,6/30/2018,1500,1500,"1,500",Families Belong Together,https://act.moveon.org/event/families-belong-together/20355/signup/?source=&s=,https://www.pasadenastarnews.com/2018/06/30/pasadena-demonstrators-parade-down-colorado-boulevard-to-urge-reuniting-immigrant-families/,,34.1477849,-118.1445155,34.1448579,-118.1401895,Link
Payson,Intersection of highway 87 and 260,AZ,US,6/30/2018,75,75,75,Families Belong Together,https://act.moveon.org/event/families-belong-together/20409/signup/?source=&s=,https://www.paysonroundup.com/government/payson-protestors-call-for-reunification-of-families/article_898a5ca9-b8d6-588b-93e3-0dc8c6a66ac0.html,,34.2308684,-111.3251355,34.2337734,-111.3241175,Link
Peabody,Temple Tiferet Shalom,MA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20440/signup/?source=&s=,,,42.5278731,-70.9286609,42.5270151,-70.9324869,Link
Pensacola,City Hall,FL,US,6/30/2018,62,62,62,Families Belong Together,https://act.moveon.org/event/families-belong-together/19930/signup/?source=&s=,https://www.facebook.com/events/191523514886927/,,30.421309,-87.2169149,30.419627,-87.2200269,Link
Peterborough,,NH,US,6/30/2018,24,36,24 to 36,Families Belong Together,https://www.facebook.com/photo.php?fbid=10216732735493284&set=pcb.10216732737213327&type=3&theater,,,42.8706048,-71.9516746,42.8700718,-71.9527406,Link
Peoria,Federal Building and U.S. Courthouse,IL,US,6/30/2018,125,125,125,Families Belong Together,https://act.moveon.org/event/families-belong-together/20287/signup/?source=&s=,http://www.pjstar.com/news/20180630/peoria-protesters-rally-against-trump-immigration-policies,,40.6936488,-89.5889864,40.6901698,-89.5879574,Link
Petaluma,"Petaluma Mail Depot , parking lot (4th & C streets)",CA,US,6/30/2018,204,204,204,Families Belong Together,https://act.moveon.org/event/families-belong-together/19842/signup/?source=&s=,https://www.facebook.com/events/2053109051617883/,,38.232417,-122.6366524,38.237303,-122.6404044,Link
